query	shows_per_month_all_regions_2026-08-20_2026-09-18
евангелие	1099260
библия	1039921
стих дня	583879
стихи дне	583191
евангелие дня	481412
стих с днем рождения	303240
псалмы читать	301267
перевод с английского на русский язык	236793
перевод с английского языка на русский	236793
евангелие слушать	207887
евангелие дня слушать	130980
книги на английском	124348
стихи поздравления с днем	107561
евангелие на сегодня слушать	106031
евангелие дня слушать на сегодня	97834
переводчик с английского на русский бесплатно	92356
с днем рождения стихает	89614
день женщины стих	86330
псалом 26 читать	86321
ветхий завет	84931
библия читать	69708
читать библию	69708
переводчик с английского языка на русский	68114
переводчик с русского на английский язык	68114
псалтырь читать	64009
евангелие с толкованием слушать	63269
евангелие от иоанна	62509
псалом 50 читать	61792
псалтирь читать	58530
слушать евангелие дня с толкованием	56363
псалтирь слушать	56284
толкование евангелия на сегодня слушать	52013
транскрипция с английского на русский	51534
библия это	49507
правила чтения	48744
евангелие дня с толкованием слушать на сегодня	48126
библия слушать	46597
слушать библию	46262
библия онлайн	46033
псалтырь слушать	44740
евангелие от марка	44499
книги библии	43590
евангелие и апостол	35983
евангелие дня читать	35256
евангелие слушать бесплатно	33753
чтение евангелия	33001
bible	32463
христианские песни слушать	30063
библия бесплатно	28031
книги на английском языке	27901
аудиокнига целитель	27549
молитва на ночь	26638
евангелие слушать коротко	26413
послания апостолов	25301
план победы	25042
молитва перед сном	24984
переводы библии	24803
слушать евангелие дня короткое	23791
короткое евангелие на сегодня слушать	22114
слушать бесплатно евангелие дня	21797
слушать евангелие сегодня бесплатно	21764
слушать евангелие без рекламы	21345
евангелие дня на сегодня слушать короткое	20423
толкование евангелие слушать бесплатно	20106
евангелие дня на сегодня слушать бесплатно	19999
стихи из библии	19124
евангелие слушать главу	19119
date перевод	18457
святое евангелие	18451
слушать евангелие на сегодня с толкованием бесплатно	18151
слушать евангелие бесплатно без рекламы	17977
евангелие дня с толкованием слушать бесплатно	17645
слушать евангелие дня сегодня с толкованием бесплатно	16909
синодальный перевод	16489
чтение библии	16245
библия онлайн слушать	16131
icsee приложение	16016
библия на русском бесплатно	15946
книгоблуд аудиокнига	15660
евангелие на сегодня слушать без рекламы	15485
слушать евангелие дня без реклам	15137
евангелие слушать онлайн	15118
евангелие дня на сегодня слушать без рекламы	14482
литнет читать книги онлайн бесплатно	13987
евангелие слушать на русском	13929
евангелие от матфея слушать	13838
новеллы на андроид	13732
приложение наблюдатель	13686
аудио библия	12890
евангелие на сегодня слушать без рекламы бесплатно	12820
библия онлайн бесплатно	12323
толкование библии	12262
ветхий завет книга	12097
книги ветхого завета	12095
евангелие от иоанна слушать	11795
библия слушать бесплатно	11724
библия читать онлайн	11658
читаем библию онлайн	11658
христианские книги	11605
слушать евангелие дня сентября	11444
чтение псалтири	11345
перед чтением евангелия	11261
толкование евангелия дня слушать без рекламы	11221
библия ветхий завет	11098
молитва перед чтением евангелия	10867
евангелие слушать на русском бесплатно	10728
евангелие от матфея читать	10582
евангелие слушать онлайн бесплатно	10292
псалтирь богородице	10233
псалтирь богородицы	10233
лука евангелие слушать	10136
евангелие от луки лука слушать	10082
евангелие от луки слушать	10082
библия читать бесплатно	9840
читаем библию бесплатно	9840
детская библия	9614
глава на английском	9525
псалтырь слушать валаамский	9516
слушать библию на русском	9028
библия текст	9012
книга перевод на английский	8962
библия синодальный перевод	8811
псалтырь слушать бесплатно	8809
голосом аудиокниги	8571
несвятые святые слушать аудиокнигу	8571
слушать псалтырь монастырь	8481
евангелие слушать на русском без рекламы	8467
слушать евангелие с толкованием короткое	8430
псалтырь слушать валаамский монастырь слушать	8390
